127.0.0.1, 2022-02-16 08:56:57, GET, /, HTTP/1.1, 303, 0.006838
127.0.0.1, 2022-02-16 08:56:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.921417
127.0.0.1, 2022-02-16 08:56:59, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-02-16 08:57:01, GET, /admin/default/site, HTTP/1.1, 303, 0.316363
127.0.0.1, 2022-02-16 08:57:01, GET, /admin/default/index, HTTP/1.1, 200, 0.092090
127.0.0.1, 2022-02-16 08:57:01, GET, /admin/static/_2.21.1/js/jquery.js, HTTP/1.1, 200, 0.002750
127.0.0.1, 2022-02-16 08:57:01, GET, /admin/static/_2.21.1/js/calendar.js, HTTP/1.1, 200, 0.001091
127.0.0.1, 2022-02-16 08:57:01, GET, /admin/static/_2.21.1/css/calendar.css, HTTP/1.1, 200, 0.002582
127.0.0.1, 2022-02-16 08:57:01, GET, /admin/static/_2.21.1/js/web2py.js, HTTP/1.1, 200, 0.001080
127.0.0.1, 2022-02-16 08:57:01, GET, /admin/static/_2.21.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001984
127.0.0.1, 2022-02-16 08:57:01, GET, /admin/static/_2.21.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001888
127.0.0.1, 2022-02-16 08:57:01, GET, /admin/static/_2.21.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001619
127.0.0.1, 2022-02-16 08:57:01, GET, /admin/static/_2.21.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.001494
127.0.0.1, 2022-02-16 08:57:01, GET, /admin/static/_2.21.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001802
127.0.0.1, 2022-02-16 08:57:01, GET, /admin/static/_2.21.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001183
127.0.0.1, 2022-02-16 08:57:01, GET, /admin/static/_2.21.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003220
127.0.0.1, 2022-02-16 08:57:01, GET, /admin/static/_2.21.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001276
127.0.0.1, 2022-02-16 08:57:01, GET, /admin/static/_2.21.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-02-16 08:57:02, GET, /admin/static/_2.21.1/images/questions.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-02-16 08:57:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000501
127.0.0.1, 2022-02-16 08:57:05, POST, /admin/default/index, HTTP/1.1, 303, 0.028805
127.0.0.1, 2022-02-16 08:57:05, GET, /admin/default/site, HTTP/1.1, 200, 0.103536
127.0.0.1, 2022-02-16 08:57:05, GET, /admin/static/_2.21.1/images/folder_locked.png, HTTP/1.1, 200, 0.002627
127.0.0.1, 2022-02-16 08:57:05, GET, /admin/static/_2.21.1/images/folder.png, HTTP/1.1, 200, 0.001499
127.0.0.1, 2022-02-16 08:57:05, GET, /admin/static/_2.21.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-02-16 08:57:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-02-16 08:57:05, POST, /admin/default/check_version, HTTP/1.1, 200, 0.072218
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/default/index, HTTP/1.1, 200, 0.271862
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/css/font-face.css, HTTP/1.1, 200, 0.002416
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/font-awesome-5/css/fontawesome-all.min.css, HTTP/1.1, 200, 0.003029
1909
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/bootstrap-4.1/bootstrap.min.css, HTTP/1.1, 200, 0.001950
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/font-awesome-4.7/css/font-awesome.min.css, HTTP/1.1, 200, 0.004477
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/animsition/animsition.min.css, HTTP/1.1, 200, 0.004443
